favorite_count,in_reply_to_status_id,in_reply_to_user_id,place,retweet_count,retweeted,tweet_id
2267,,,,176,False,828361771580813312
12111,,,,2955,False,828046555563323392
10650,,,,2222,False,828011680017821696
20711,,,,5421,False,827933404142436356
15924,,,,3106,False,827653905312006145
7639,,,,975,False,827600520311402496
16314,,,,3162,False,827324948884643840
10886,,,,2314,False,827199976799354881
22206,,,,5197,False,826958653328592898
37500,,,,10555,False,826848821049180160
0,,,,4117,False,826615380357632002
5271,8.265983652700078e+17,4196983835.0,,264,False,826598799820865537
10358,,,,2432,False,826598365270007810
18985,,,,4364,False,826476773533745153
13691,,,,2701,False,826240494070030336
5027,,,,964,False,826204788643753985
16124,,,,3245,False,826115272272650244
10765,,,,1945,False,825876512159186944
13128,,,,2578,False,825829644528148480
53848,,,,17931,False,825535076884762624
18885,,,,4715,False,825147591692263424
0,,,,1321,False,825120256414846976
6539,,,,1321,False,825026590719483904
0,,,,5699,False,824796380199809024
15407,,,,3655,False,824775126675836928
10413,,,,1805,False,824663926340194305
12199,,,,10881,False,824325613288833024
15572,,,,4015,False,824297048279236611
4960,,,,615,False,824025158776213504
10976,,,,2811,False,823939628516474880
0,,,,11648,False,823719002937630720
14403,,,,2613,False,823699002998870016
13447,,,,2733,False,823581115634085888
719,8.233263893362442e+17,1582853809.0,,26,False,823333489516937216
16250,,,,4184,False,823322678127919110
0,,,,10290,False,823269594223824897
17859,,,,3579,False,822975315408461824
136404,,,,45099,False,822872901745569793
13707,,,,2386,False,822859134160621569
0,,,,6665,False,822647212903690241
15284,,,,3065,False,822610361945911296
18775,,,,6665,False,822489057087389700
29182,,,,15015,False,822462944365645825
36200,,,,10290,False,822244816520155136
0,,,,4994,False,822163064745328640
11724,,,,2417,False,821886076407029760
0,,,,3485,False,821813639212650496
8707,,,,1717,False,821765923262631936
8298,,,,1842,False,821522889702862852
0,,,,5828,False,821421320206483457
12194,,,,4516,False,821407182352777218
264,8.21152592717697e+17,113211856.0,,10,False,821153421864615936
8984,,,,2086,False,821149554670182400
9921,,,,2220,False,821107785811234820
13088,,,,2373,False,821044531881721856
0,,,,7021,False,820837357901512704
32647,,,,10305,False,820749716845686786
12630,,,,3370,False,820690176645140481
0,,,,590,False,820494788566847489
0,,,,2685,False,820446719150292993
3459,,,,590,False,820314633777061888
20518,,,,6533,False,820078625395449857
0,,,,1236,False,820013781606658049
5520,,,,1236,False,819952236453363712
13345,,,,5065,False,819924195358416896
13921,,,,3247,False,819711362133872643
9957,,,,2061,False,819588359383371776
7478,,,,1255,False,819347104292290561
2366,,,,422,False,819238181065359361
23921,,,,7021,False,819227688460238848
0,,,,38392,False,819015337530290176
0,,,,19739,False,819015331746349057
46877,,,,19739,False,819006400881917954
90047,,,,38392,False,819004803107983360
0,,,,21872,False,818646164899774465
23200,,,,7858,False,818627210458333184
10208,,,,2683,False,818614493328580609
0,,,,6405,False,818588835076603904
11322,,,,2582,False,818536468981415936
0,,,,8474,False,818307523543449600
11431,,,,2381,False,818259473185828864
12732,,,,2690,False,818145370475810820
5036,,,,835,False,817908911860748288
53676,,,,28261,False,817827839487737858
11129,,,,2817,False,817777686764523521
12226,,,,3119,False,817536400337801217
0,,,,3533,False,817502432452313088
35265,,,,15448,False,817423860136083457
5817,,,,1003,False,817415592588222464
0,,,,8845,False,817181837579653120
9079,,,,2111,False,817171292965273600
12667,,,,2719,False,817120970343411712
8908,,,,1717,False,817056546584727552
0,,,,4916,False,816829038950027264
10400,,,,2136,False,816816676327063552
10166,,,,2293,False,816697700272001025
31702,,,,8474,False,816450570814898180
8933,,,,2036,False,816336735214911488
9275,,,,2243,False,816091915477250048
0,,,,1076,False,816062466425819140
0,,,,5518,False,816014286006976512
5163,,,,1076,False,815990720817401858
23279,,,,8845,False,815966073409433600
0,,,,4331,False,815745968457060357
10223,,,,2372,False,815736392542261248
8539,,,,1722,False,815639385530101762
10770,,,,3983,False,815390420867969024
7956,,,,1339,False,814986499976527872
11716,,,,2830,False,814638523311648768
0,,,,6105,False,814578408554463233
8991,,,,1941,False,814530161257443328
29933,,,,9078,False,814153002265309185
0,,,,3333,False,813944609378369540
9674,,,,1955,False,813910438903693312
37863,,,,14634,False,813812741911748608
8669,,,,1844,False,813800681631023104
19429,,,,7647,False,813217897535406080
9584,,,,1885,False,813202720496779264
20652,,,,4575,False,813187593374461952
9677,,,,2012,False,813172488309972993
8080,,,,2319,False,813157409116065792
8802,,,,2482,False,813142292504645637
4652,8.13127251579564e+17,4196983835.0,,470,False,813130366689148928
12336,,,,3270,False,813127251579564032
10733,,,,2883,False,813112105746448384
10959,,,,3786,False,813096984823349248
10281,,,,2898,False,813081950185472002
8299,,,,2043,False,813066809284972545
21805,,,,7706,False,813051746834595840
7892,,,,2002,False,812781120811126785
6895,,,,1496,False,812709060537683968
6315,,,,1287,False,812503143955202048
8292,,,,2020,False,812466873996607488
14250,,,,3844,False,812372279581671427
7561,,,,1470,False,811985624773361665
7850,,,,1676,False,811744202451197953
5834,8.116272330434806e+17,4196983835.0,,780,False,811647686436880384
13306,,,,3245,False,811627233043480576
21773,,,,6691,False,811386762094317568
5564,,,,1513,False,810984652412424192
9406,,,,1857,False,810896069567610880
11446,,,,2782,False,810657578271330305
36778,,,,11900,False,810284430598270976
15303,,,,3523,False,810254108431155201
16137,,,,4117,False,809920764300447744
0,,,,5138,False,809808892968534016
7237,,,,1535,False,809448704142938112
20759,,,,5895,False,809220051211603969
13786,,,,3703,False,809084759137812480
10537,,,,3198,False,808838249661788160
8257,,,,2276,False,808733504066486276
11767,,,,2735,False,808501579447930884
44372,,,,21872,False,808344865868283904
0,,,,6232,False,808134635716833280
9145,,,,2319,False,808106460588765185
13094,,,,3709,False,808001312164028416
15199,,,,3831,False,807621403335917568
123592,,,,58302,False,807106840509214720
0,,,,7700,False,807059379405148160
13619,,,,4045,False,807010152071229440
78082,,,,36435,False,806629075125202948
0,,,,5808,False,806620845233815552
5084,,,,2041,False,806576416489959424
10659,,,,2477,False,806542213899489280
0,,,,12225,False,806242860592926720
6714,,,,1247,False,806219024703037440
0,,,,5638,False,805958939288408065
8632,,,,2012,False,805932879469572096
6852,,,,1922,False,805826884734976000
0,,,,8441,False,805823200554876929
5995,,,,1729,False,805520635690676224
9162,,,,2659,False,805487436403003392
8141,,,,1799,False,805207613751304193
